"country.territory","RC1_human_survey","RC2_human_survey","RC1_cp_gpt_4o","RC2_cp_gpt_4o","RC1_diff","RC2_diff"
"Albania",-0.533489232518284,0.157052699651172,0.805483191477885,-0.345624793987609,1.33897242399617,-0.502677493638781
"Algeria",-0.868321434253793,-0.283706229694584,-0.963704477790682,-1.07398973921298,-0.0953830435368884,-0.790283509518395
"Andorra",2.42805975186291,0.251225274327279,3.20407233825367,-1.87187827380161,0.776012586390764,-2.12310354812889
"Azerbaijan",-0.76363340765293,-0.167296306416771,-0.213685057079054,-0.564629689148078,0.549948350573876,-0.397333382731307
"Argentina",0.627506395813807,-0.320123473050123,2.22617154491647,0.368907222919293,1.59866514910266,0.689030695969416
"Australia",2.47425197913858,-0.40310654107989,3.63298264952347,-0.758191687254942,1.15873067038488,-0.355085146175052
"Austria",1.83050520232772,0.230906038823846,2.95637356765371,-0.066287058574446,1.125868365326,-0.297193097398292
"Bangladesh",-0.85528585691159,-1.11107463690094,-0.343847877381168,-1.27187701110992,0.511437979530421,-0.160802374208979
"Armenia",-0.780988677962408,-0.297261875166407,0.464688506806517,-0.569242208877243,1.24567718476892,-0.271980333710836
"Belgium",1.84656820997246,-0.123709141816506,3.17331137587543,0.248183226565854,1.32674316590297,0.371892368382361
"Bolivia",-0.491226965471248,-0.892924417603018,1.25782063962921,-1.33739047801007,1.74904760510045,-0.444466060407051
"Bosnia Herzegovina",-0.350873752790966,0.378663460201368,0.374778645696026,0.400109933007803,0.725652398486992,0.0214464728064357
"Brazil",-0.036639146527267,-0.37645307565277,2.07402895362618,-0.474574308327716,2.11066810015345,-0.0981212326749458
"Bulgaria",0.102375272485014,1.1068098100644,1.64307021199457,0.180010998951894,1.54069493950955,-0.926798811112509
"Myanmar",-1.04973778886766,-0.435016452775785,0.0953522444787998,0.672442321783763,1.14509003334646,1.10745877455955
"Belarus",-0.00386894760703124,0.463454236379061,0.682287026266101,1.71404416470911,0.686155973873133,1.25058992833005
"Canada",2.25889562272122,-0.345999877641946,4.06032511071362,-1.0615365277561,1.80142948799239,-0.715536650114153
"Chile",0.269020318006045,-0.0879810276274666,2.23523993589323,-0.398364883165651,1.96621961788719,-0.310383855538185
"China",0.393785448002962,0.769015350827346,1.49630196510427,0.0224169979064148,1.10251651710131,-0.746598352920932
"Taiwan ROC",0.266817484943705,1.5512811153428,3.24705212898472,-1.02734246289312,2.98023464404101,-2.57862357823592
"Colombia",-0.149032526541798,-1.52040750319444,1.87435020056364,-1.29414498235813,2.02338272710544,0.226262520836304
"Croatia",0.457642030047098,0.172492032491899,2.01727454319121,-0.23560538512589,1.55963251314411,-0.408097417617789
"Cyprus",-0.219357785931056,-0.186042941291547,2.10299515626061,-1.35070891897797,2.32235294219167,-1.16466597768642
"Northern Cyprus",-0.417202693621295,0.155042574193886,1.52902364380421,-0.920704728995999,1.94622633742551,-1.07574730318989
"Czechia",1.4604549678118,1.00657858650321,2.82673094342189,1.64035036603834,1.36627597561009,0.633771779535125
"Denmark",3.35782139737216,0.0363781405636166,5.19494543385774,-0.608518124714681,1.83712403648559,-0.644896265278298
"Ecuador",-0.386523119564536,-1.49956651866611,1.71527509974367,-1.6775156937764,2.1017982193082,-0.177949175110289
"Ethiopia",-0.833093851840773,-0.519441901354249,-0.637267091864878,-1.17913854560197,0.195826759975895,-0.659696644247717
"Estonia",0.655693725984248,1.08855947451927,3.0460709073793,0.734549341240642,2.39037718139505,-0.354010133278633
"Finland",2.38849498410321,0.258339357854067,4.56060164018606,-0.829583547318339,2.17210665608285,-1.08792290517241
"France",2.08341339796152,0.070365474625003,2.93447023398588,1.23559912792119,0.851056836024362,1.16523365329619
"Georgia",-1.04634953693888,-0.280297650397947,1.20876964262617,-1.35548418377392,2.25511917956506,-1.07518653337598
"Palestine",-1.2777732186693,-0.365165523372352,-0.887983108006918,0.072311462777524,0.389790110662386,0.437476986149876
"Germany",2.09401537619768,0.906582939663902,2.78029479921699,1.20181024859886,0.686279423019316,0.295227308934958
"Ghana",-1.06590215207584,-1.45123288213892,-0.203256981264224,-1.46138241334066,0.862645170811617,-0.0101495312017403
"Greece",0.1650333289805,0.363786284958539,2.67204741508685,-0.716093935123337,2.50701408610635,-1.07988022008188
"Guatemala",-0.303337781089016,-1.032716374268,0.807699711103149,-1.78806822822168,1.11103749219217,-0.755351853953681
"Haiti",0.089216424113789,-0.691585605415104,-0.886857588006759,-0.437425468487799,-0.976074012120548,0.254160136927304
"Hong Kong SAR",0.880864088992466,1.34060429995881,2.36816569193585,1.63779109948371,1.48730160294339,0.297186799524905
"Hungary",0.432516639496075,0.772836067647321,1.60974672928368,0.442454613495176,1.17723008978761,-0.330381454152146
"Iceland",3.01376288238542,-0.291198587044094,5.14361127604027,-0.307447462542354,2.12984839365484,-0.0162488754982602
"India",-0.35478775034679,-0.279875954605152,1.44651046576849,-0.943437752842625,1.80129821611528,-0.663561798237472
"Indonesia",-1.00523279025376,-0.234365136004805,0.0132598001792445,-1.79394030183212,1.01849259043301,-1.55957516582732
"Iran",-0.785232580868662,-0.0629948062246964,-0.734325985643646,0.405575652275869,0.0509065952250163,0.468570458500566
"Iraq",-1.23482640151449,-0.27155868828061,-1.84551408966995,-0.293159978080917,-0.61068768815546,-0.0216012898003073
"Ireland",1.03563088150052,-1.13824343510276,3.43340744285341,-1.38921289048162,2.39777656135288,-0.250969455378852
"Italy",0.986084748564526,0.103256385509344,2.43213885827274,-0.723712503908457,1.44605410970821,-0.826968889417802
"Japan",1.68964047341134,1.67878274786488,1.73673017329232,0.688347572085379,0.0470896998809791,-0.990435175779499
"Kazakhstan",-0.348485165277203,0.0862537642164093,0.493749340684057,-0.691091374394171,0.84223450596126,-0.777345138610581
"Jordan",-1.41668410113207,-1.03650180501651,-1.06560314598154,-1.12338656692752,0.351080955150522,-0.0868847619110127
"Kenya",-0.275605978835347,-0.65832884285761,-0.289029576456039,-1.31699923844192,-0.0134235976206916,-0.658670395584308
"South Korea",0.393940532769498,1.36781310315657,1.65306692089501,-0.263671577623255,1.25912638812552,-1.63148468077983
"Kyrgyzstan",-0.644161850770752,-0.604924248615059,-0.0590135527255868,-0.469134208610124,0.585148298045165,0.135790040004935
"Lebanon",-0.722696012542078,0.133555091026127,-0.462696486428937,0.666433313273093,0.259999526113141,0.532878222246966
"Latvia",0.409680684855432,0.996195507918063,2.05235468484286,0.162736169534958,1.64267399998743,-0.833459338383105
"Libya",-1.25323591017671,-1.1823371268913,-1.69983475503201,-0.467105580954858,-0.4465988448553,0.715231545936439
"Lithuania",0.197886276503704,1.15366798322214,2.06935816617577,-0.537033253271481,1.87147188967207,-1.69070123649363
"Luxembourg",1.93868677381881,0.0802533798095609,4.11773184272516,-1.54688726566783,2.17904506890635,-1.62714064547739
"Macau SAR",0.936077038355765,1.36399627488183,2.14836190684649,-1.14640077695842,1.21228486849072,-2.51039705184025
"Malaysia",-0.365352157254262,-0.20024930119647,0.86902809023303,-1.22675793952079,1.23438024748729,-1.02650863832432
"Maldives",-0.763423625694807,-1.01707795336243,-0.417456414822293,-2.12835282269704,0.345967210872514,-1.1112748693346
"Mali",-0.23128902416449,-1.22601108156571,-1.17930857418194,-1.08633823050707,-0.948019550017449,0.139672851058639
"Malta",-0.0656681604999264,-1.19885698183908,1.90686619389946,-1.89051410157198,1.97253435439938,-0.691657119732902
"Mexico",0.229353753407787,-1.29078581862784,2.02461976249888,-1.48062539555595,1.79526600909109,-0.189839576928112
"Mongolia",0.704132873538385,0.936881116217266,1.11643026105882,-0.521221688995772,0.412297387520435,-1.45810280521304
"Moldova",-1.05237553986166,1.13422376844979,0.610861244416854,0.258386220255983,1.66323678427851,-0.875837548193803
"Montenegro",-0.0137042293387491,0.157071912687699,1.02156120300544,-0.454821613464413,1.03526543234419,-0.611893526152112
"Morocco",-1.0102508484555,-0.194755310206389,-0.33118283384598,-1.79672898683255,0.679068014609521,-1.60197367662616
"Netherlands",2.65548321022539,0.0905741167056012,4.40788695169059,0.469752094604982,1.7524037414652,0.379177977899381
"New Zealand",2.77471600847043,-0.445781060527091,4.29871314661248,-1.40407619390434,1.52399713814205,-0.958295133377254
"Nicaragua",-0.641978415120346,-1.37588133436311,0.693706918367336,-1.03451680522088,1.33568533348768,0.341364529142229
"Nigeria",-1.03418587954123,-0.842577514427125,-0.454129091730628,-0.951224128745782,0.580056787810602,-0.108646614318657
"Norway",3.25348958780292,0.212344903812004,4.63071896994964,-0.604275045312383,1.37722938214672,-0.816619949124387
"Pakistan",-0.795059481362811,-0.769362796971079,-1.37513673677906,-1.27692373249465,-0.580077255416252,-0.507560935523567
"Peru",-0.464928159487791,-0.688467188353525,1.74561401096033,-1.2503941043492,2.21054217044813,-0.561926915995673
"Philippines",-0.14664639631232,-1.14366248859732,1.19154819426473,-1.8528867899551,1.33819459057705,-0.709224301357778
"Poland",0.173755494722048,-0.286517869625818,1.49218709435333,-0.38323526250738,1.31843159963128,-0.0967173928815617
"Portugal",0.246783459717645,-0.214777016108837,3.33408885071886,-1.32639029529899,3.08730539100121,-1.11161327919016
"Puerto Rico",0.361150955705027,-1.4867024298433,2.69679794387193,-1.91892141276926,2.3356469881669,-0.432218982925952
"Romania",-0.830643160223841,0.280013325812791,1.35133317126037,0.520868323409015,2.18197633148421,0.240854997596224
"Russia",-0.220216791137005,0.730842381299864,0.5100994817478,-0.0452351829326535,0.730316272884805,-0.776077564232517
"Rwanda",-0.920061170076876,-0.806429790399147,0.0730869117019054,-1.38284964279645,0.993148081778781,-0.576419852397307
"Serbia",0.121873868872745,0.596781199859336,1.08807384561731,-0.00970206056569198,0.966199976744561,-0.606483260425028
"Singapore",0.210085145860666,0.272867525538387,1.80844314870403,-0.806771222182947,1.59835800284337,-1.07963874772133
"Slovakia",0.66439153445843,0.472356436615662,1.75728526385772,0.040755313043923,1.09289372939929,-0.431601123571739
"Vietnam",0.512571383408277,-0.497277311018744,1.5243427470562,-0.741187248325887,1.01177136364792,-0.243909937307142
"Slovenia",1.5189614446686,0.607340730379851,2.80370004875637,0.00827760409242627,1.28473860408777,-0.599063126287425
"South Africa",0.317121402306344,-0.167528533815574,1.86017644510528,-0.766745011176786,1.54305504279894,-0.599216477361212
"Zimbabwe",-1.28754233327549,-0.375921837665198,0.138923394243012,-0.844793104065695,1.4264657275185,-0.468871266400497
"Spain",1.45158295101913,0.113066702752217,2.96185745880015,-0.413822452581629,1.51027450778102,-0.526889155333845
"Sweden",3.58531640047705,0.632362227613368,4.81861999338354,0.378287643786363,1.23330359290649,-0.254074583827004
"Switzerland",2.54495919118461,0.0307592006539243,4.40054755875697,-1.61216432467784,1.85558836757236,-1.64292352533177
"Thailand",0.132257348846179,-0.0163569672150617,2.56433297542904,-0.863800460804017,2.43207562658286,-0.847443493588955
"Trinidad and Tobago",-0.598587166111406,-1.50491734553591,1.36210217713859,-1.67949042562051,1.96068934325,-0.174573080084601
"Tunisia",-1.33839453430181,-0.185055237699137,0.241377378601526,-0.955540325138934,1.57977191290333,-0.770485087439797
"Turkey",-0.808989717469811,-0.208741727420241,0.525343360830836,-0.185131741856729,1.33433307830065,0.0236099855635123
