entity,entity_type,model_version,reference_entity,x_survival_self_expression,y_traditional_secular,n_raw,n_complete,ci95_x_low,ci95_x_high,ci95_y_low,ci95_y_high,source,notes
Haiti,country_human,,,0.089216424113789,-0.691585605415104,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Hong Kong SAR,country_human,,,0.880864088992466,1.34060429995881,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Hungary,country_human,,,0.432516639496075,0.772836067647321,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Iceland,country_human,,,3.01376288238542,-0.291198587044094,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
India,country_human,,,-0.35478775034679,-0.279875954605152,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Indonesia,country_human,,,-1.00523279025376,-0.234365136004805,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Iran,country_human,,,-0.785232580868662,-0.0629948062246964,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Iraq,country_human,,,-1.23482640151449,-0.27155868828061,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Ireland,country_human,,,1.03563088150052,-1.13824343510276,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Italy,country_human,,,0.986084748564526,0.103256385509344,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Japan,country_human,,,1.68964047341134,1.67878274786488,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Kazakhstan,country_human,,,-0.348485165277203,0.0862537642164093,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Jordan,country_human,,,-1.41668410113207,-1.03650180501651,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Kenya,country_human,,,-0.275605978835347,-0.65832884285761,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
South Korea,country_human,,,0.393940532769498,1.36781310315657,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Kyrgyzstan,country_human,,,-0.644161850770752,-0.604924248615059,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Lebanon,country_human,,,-0.722696012542078,0.133555091026127,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Latvia,country_human,,,0.409680684855432,0.996195507918063,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Libya,country_human,,,-1.25323591017671,-1.1823371268913,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Lithuania,country_human,,,0.197886276503704,1.15366798322214,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Luxembourg,country_human,,,1.93868677381881,0.0802533798095609,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Macau SAR,country_human,,,0.936077038355765,1.36399627488183,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Malaysia,country_human,,,-0.365352157254262,-0.20024930119647,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Maldives,country_human,,,-0.763423625694807,-1.01707795336243,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Mali,country_human,,,-0.23128902416449,-1.22601108156571,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Malta,country_human,,,-0.0656681604999264,-1.19885698183908,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Mexico,country_human,,,0.229353753407787,-1.29078581862784,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Mongolia,country_human,,,0.704132873538385,0.936881116217266,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Moldova,country_human,,,-1.05237553986166,1.13422376844979,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Montenegro,country_human,,,-0.0137042293387491,0.157071912687699,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Morocco,country_human,,,-1.0102508484555,-0.194755310206389,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Netherlands,country_human,,,2.65548321022539,0.0905741167056012,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
New Zealand,country_human,,,2.77471600847043,-0.445781060527091,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Nicaragua,country_human,,,-0.641978415120346,-1.37588133436311,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Nigeria,country_human,,,-1.03418587954123,-0.842577514427125,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Norway,country_human,,,3.25348958780292,0.212344903812004,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Pakistan,country_human,,,-0.795059481362811,-0.769362796971079,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Peru,country_human,,,-0.464928159487791,-0.688467188353525,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Philippines,country_human,,,-0.14664639631232,-1.14366248859732,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Poland,country_human,,,0.173755494722048,-0.286517869625818,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Portugal,country_human,,,0.246783459717645,-0.214777016108837,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Puerto Rico,country_human,,,0.361150955705027,-1.4867024298433,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Romania,country_human,,,-0.830643160223841,0.280013325812791,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Russia,country_human,,,-0.220216791137005,0.730842381299864,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Rwanda,country_human,,,-0.920061170076876,-0.806429790399147,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Serbia,country_human,,,0.121873868872745,0.596781199859336,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Singapore,country_human,,,0.210085145860666,0.272867525538387,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Slovakia,country_human,,,0.66439153445843,0.472356436615662,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Vietnam,country_human,,,0.512571383408277,-0.497277311018744,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Slovenia,country_human,,,1.5189614446686,0.607340730379851,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
South Africa,country_human,,,0.317121402306344,-0.167528533815574,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Zimbabwe,country_human,,,-1.28754233327549,-0.375921837665198,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Spain,country_human,,,1.45158295101913,0.113066702752217,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Sweden,country_human,,,3.58531640047705,0.632362227613368,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Switzerland,country_human,,,2.54495919118461,0.0307592006539243,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Thailand,country_human,,,0.132257348846179,-0.0163569672150617,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Trinidad and Tobago,country_human,,,-0.598587166111406,-1.50491734553591,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Tunisia,country_human,,,-1.33839453430181,-0.185055237699137,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
